GeneID,RMSLE,Spearman,NRMSE_range,MASE
ENSDARG00000111553,0.4788963794708252,0.6904024767801857,0.19897602,0.42648336
ENSDARG00000042961,0.32564008235931396,0.9193401255733064,0.13089018,0.31640884
ENSDARG00000099920,0.26173534989356995,0.9050567595459237,0.14414725,0.28597477
ENSDARG00000074747,0.17984889447689056,0.9896800825593396,0.13669084,0.32480514
ENSDARG00000019962,0.4676240384578705,0.7027863777089782,0.22452596,0.7009084
ENSDARG00000109334,0.4880722463130951,0.9678553424023646,0.22539833,0.39154586
ENSDARG00000069046,0.2013697475194931,0.461964636498684,0.1841267,0.637948
ENSDARG00000060534,0.1976839154958725,0.8101135190918473,0.18814617,0.38377795
ENSDARG00000061858,2.276517152786255,0.3132426846490203,0.17685917,0.7204072
ENSDARG00000055279,0.13722799718379974,0.7089783281733747,0.10534014,0.2764709
ENSDARG00000021046,0.18982885777950287,0.6449948400412797,0.06977967,0.15325648
ENSDARG00000003968,0.4239678382873535,0.8988648090815273,0.19910908,0.36885586
ENSDARG00000032246,0.40141063928604126,0.1413828689370485,0.29914573,0.9064477
ENSDARG00000055284,0.21638080477714539,0.9065566515283991,0.15187289,0.35244873
ENSDARG00000092651,0.18059374392032623,0.977296181630547,0.0816904,0.15888745
ENSDARG00000042684,0.45723214745521545,0.9344348173498875,0.19216512,0.40412253
ENSDARG00000036295,0.4523146450519562,0.7750257997936018,0.21901962,0.6064391
ENSDARG00000098415,0.548344075679779,0.9752321981424149,0.12847587,0.29197025
ENSDARG00000019144,0.19453062117099762,0.8163054695562436,0.13117905,0.29324326
ENSDARG00000089271,0.4029037058353424,0.8431372549019607,0.09825538,0.2519485
ENSDARG00000034173,0.1143779456615448,0.8059247214909366,0.071576096,0.17504898
ENSDARG00000009477,0.11127595603466034,0.7929789389223354,0.04646379,0.14215335
ENSDARG00000092807,0.37121498584747314,0.8575851393188855,0.1181562,0.37271523
ENSDARG00000055753,0.2574402689933777,0.9607843137254902,0.14407264,0.3183588
ENSDARG00000109251,0.39549028873443604,0.9793601651186791,0.16860735,0.42887986
ENSDARG00000046142,0.3753288984298706,0.5898451983392695,0.06673749,0.22604583
ENSDARG00000104792,0.23640941083431244,0.8138590313005536,0.19010429,0.34434235
ENSDARG00000058494,0.46821829676628113,0.4757481940144479,0.21113071,0.62909687
ENSDARG00000116787,0.23761318624019623,0.9628482972136224,0.14229308,0.21994811
ENSDARG00000060197,0.21036496758460999,0.8637770897832818,0.13031615,0.23785067
ENSDARG00000079457,0.24277903139591217,0.8740970072239421,0.19227032,0.4851701
ENSDARG00000116207,0.23553070425987244,0.7406730825623532,0.27539578,0.55236536
ENSDARG00000005842,0.559868574142456,0.5851393188854489,0.26802734,0.6317612
ENSDARG00000112576,0.27913329005241394,0.7294980642497317,0.13448477,0.40429625
ENSDARG00000089697,0.20177610218524933,0.8885448916408669,0.09421475,0.3711305
ENSDARG00000004169,0.3942936360836029,0.3560371517027864,0.24839309,0.75601053
ENSDARG00000074221,0.2662029564380646,0.8596491228070176,0.20820305,0.39898723
ENSDARG00000114407,0.21149690449237823,0.3318879799692137,0.23379543,0.8635413
ENSDARG00000011701,1.087223768234253,0.9277605779153767,0.2328767,0.58840656
ENSDARG00000053431,0.4674328565597534,0.7915376676986584,0.20349205,0.5094201
ENSDARG00000116813,0.13856053352355957,0.8345415988050149,0.08426012,0.27296975
ENSDARG00000021550,0.19198109209537506,0.7523219814241485,0.22487508,0.5049879
ENSDARG00000067605,0.20918719470500946,0.894736842105263,0.10192174,0.35190892
ENSDARG00000101787,0.16866400837898254,0.9029927760577915,0.109981984,0.12252387
ENSDARG00000091847,0.07619405537843704,0.7847187416418945,0.031731434,0.10909986
ENSDARG00000007916,0.20275084674358368,0.8885448916408669,0.1656862,0.37378526
ENSDARG00000078244,0.1920204609632492,0.826625386996904,0.1419442,0.2801157
ENSDARG00000095623,0.10221900790929794,0.8452012383900928,0.081880905,0.40034795
ENSDARG00000053959,0.6304355263710022,0.5211558307533539,0.22277874,0.56440717
ENSDARG00000020201,0.15086516737937927,0.9938080495356036,0.121526554,0.269915
ENSDARG00000112870,0.7727480530738831,0.37254901960784315,0.25605115,0.5685417
ENSDARG00000062401,0.15107129514217377,0.5500515995872033,0.11565733,0.4267464
ENSDARG00000059770,0.14870533347129822,0.8802889576883385,0.11267188,0.27555454
ENSDARG00000058444,0.23516808450222015,0.4984520123839009,0.21572529,0.5882308
ENSDARG00000058985,0.2706160843372345,0.7537430018402407,0.13511032,0.42260885
ENSDARG00000112675,0.363650918006897,0.87203302373581,0.16235928,0.63728946
