GeneID,RMSLE,Spearman,NRMSE_range,MASE
ENSDARG00000076308,0.4571642279624939,0.7275541795665634,0.22168115,0.42423397
ENSDARG00000022456,0.33314552903175354,0.9587203302373581,0.041205045,0.08726955
ENSDARG00000025465,0.21043524146080017,0.6821465428276574,0.18929607,0.46858543
ENSDARG00000117132,0.6329766511917114,-0.4262125902992776,0.31271565,1.102546
ENSDARG00000110690,0.5238533020019531,0.8493292053663571,0.21561684,0.6637715
ENSDARG00000053311,0.48662522435188293,0.3519091847265222,0.35584173,1.0052973
ENSDARG00000110185,0.6334581971168518,0.826625386996904,0.28462756,0.73723114
ENSDARG00000068483,0.2820907235145569,0.7667698658410733,0.29797146,0.6013562
ENSDARG00000070465,0.8696584701538086,0.23267888442519002,0.3737999,0.9858403
ENSDARG00000116303,0.28360646963119507,0.9236326109391124,0.08700716,0.33350775
ENSDARG00000069407,0.23602697253227234,0.8614289365608147,0.14107817,0.3899941
ENSDARG00000079631,0.4405880272388458,0.08359133126934985,0.23965079,0.90159917
ENSDARG00000115444,0.7789556384086609,-0.3787409700722394,0.28261572,1.0878646
ENSDARG00000025043,0.6054861545562744,0.7069143446852425,0.18709381,0.780335
ENSDARG00000002666,0.6785409450531006,0.7213622291021672,0.3397795,0.660687
ENSDARG00000110211,0.1592855602502823,0.6388028895768835,0.16738921,0.45190015
ENSDARG00000103164,0.47371071577072144,0.7074239153315123,0.22117539,0.7397844
ENSDARG00000098785,0.35310789942741394,0.33952528379772956,0.31857234,0.8785512
ENSDARG00000102419,0.2575017511844635,0.9463364293085655,0.093965724,0.1962413
ENSDARG00000068582,0.16202622652053833,0.9277605779153767,0.12873743,0.25713843
ENSDARG00000026787,0.21691231429576874,0.9071207430340558,0.14102358,0.525921
ENSDARG00000007245,0.1614997386932373,0.9401444788441692,0.1258056,0.3927505
ENSDARG00000023868,0.48144033551216125,0.6346749226006192,0.2695626,0.8830445
ENSDARG00000043960,0.8260948061943054,0.7420020639834881,0.406317,0.99147433
ENSDARG00000014047,0.27587708830833435,0.8348813209494325,0.07783039,0.20488077
ENSDARG00000062699,0.3594520390033722,0.7750257997936018,0.2602557,0.72975993
ENSDARG00000007891,1.0338464975357056,0.5665634674922602,0.28169778,0.69680715
ENSDARG00000115431,0.14389890432357788,0.9052249022681217,0.07328341,0.1487984
ENSDARG00000109370,0.5945606231689453,-0.38080495356037153,0.3128621,1.2370617
ENSDARG00000115549,0.36050158739089966,0.5583075335397317,0.29463926,1.0241388
ENSDARG00000101799,0.5235186815261841,0.36429308565531476,0.33994576,0.9988264
ENSDARG00000098241,0.28209659457206726,-0.2239422084623323,0.35336596,1.2460666
ENSDARG00000063297,0.4845544993877411,0.7956656346749225,0.23447251,0.36853942
ENSDARG00000101680,0.45489704608917236,-0.1867905056759546,0.25364476,0.94653535
ENSDARG00000044597,0.8667762875556946,0.7254901960784313,0.3857127,0.8930423
ENSDARG00000052020,0.20625978708267212,0.869969040247678,0.14859788,0.35795975
ENSDARG00000013000,0.11702845245599747,0.9711042311661506,0.05837918,0.18612458
ENSDARG00000002507,0.3314127027988434,0.8637770897832818,0.18937989,0.5451415
ENSDARG00000045514,0.09125744551420212,0.9711042311661506,0.07488414,0.19177346
ENSDARG00000039966,0.6866366863250732,0.41589267285861714,0.44406918,0.9237377
ENSDARG00000002249,0.3303150534629822,0.7977296181630547,0.13303469,0.4943291
ENSDARG00000098428,0.18890172243118286,0.8617131062951496,0.16287549,0.35813746
ENSDARG00000104306,0.5534130334854126,-0.36429308565531476,0.31043783,0.9247956
ENSDARG00000078066,0.6151201128959656,0.24045407636738902,0.2819838,0.93040603
ENSDARG00000114796,0.48005929589271545,-0.32094943240454077,0.33361512,0.90687317
ENSDARG00000102128,0.32294198870658875,0.06914344685242517,0.22311473,0.84836763
ENSDARG00000100095,0.3532522916793823,0.8452012383900928,0.16515456,0.32094756
ENSDARG00000068291,0.4606589078903198,-0.12280701754385966,0.2635908,0.92175245
ENSDARG00000056178,0.06568791717290878,0.6449709178102294,0.06766321,0.1576624
ENSDARG00000003699,0.5116404294967651,0.49638802889576883,0.25458616,0.76148087
ENSDARG00000115558,0.6822850108146667,-0.11158062326266181,0.28287357,0.9881289
ENSDARG00000062711,0.35313931107521057,0.7585139318885449,0.2628649,0.6782574
ENSDARG00000062868,0.6824980974197388,-0.31475748194014447,0.3393425,0.83576405
ENSDARG00000076991,0.2260323166847229,-0.1001031991744066,0.24549687,0.87077236
ENSDARG00000022698,0.48229095339775085,0.7440660474716203,0.25227332,0.70168936
ENSDARG00000077607,0.36463257670402527,0.9938080495356036,0.11948563,0.39157388
ENSDARG00000032102,0.2292649745941162,0.47781217750258,0.19944783,0.7588598
ENSDARG00000062055,0.44953474402427673,0.4447884416924664,0.25777644,0.6541247
ENSDARG00000078822,0.5417485237121582,0.5108359133126935,0.20892277,0.35555232
ENSDARG00000014867,0.2732459306716919,0.7089783281733747,0.16720027,0.36529645
ENSDARG00000027915,0.29509520530700684,-0.27347781217750256,0.23026055,0.8452105
ENSDARG00000067639,0.3843093812465668,0.9256965944272446,0.23247056,0.46628955
ENSDARG00000100249,0.30465468764305115,0.6016511867905057,0.17436816,0.5326676
ENSDARG00000056467,0.31220802664756775,-0.054695562435500514,0.23143524,0.90285856
ENSDARG00000009169,0.37126246094703674,0.5149638802889577,0.30293196,0.81273043
ENSDARG00000091637,0.1511530727148056,0.6063953416492621,0.07461961,0.16080597
ENSDARG00000022918,0.787580668926239,0.17440660474716205,0.2931173,0.705216
ENSDARG00000042978,0.5980859398841858,0.31475748194014447,0.25155014,0.719994
ENSDARG00000117028,0.40795662999153137,0.3168214654282766,0.23653223,0.89883095
ENSDARG00000059461,0.839119553565979,0.8802889576883385,0.29623365,0.63239735
ENSDARG00000063574,0.6576807498931885,-0.20330237358101136,0.33156648,0.8902904
ENSDARG00000077410,0.6713595390319824,-0.2239422084623323,0.3032178,0.7312613
ENSDARG00000098181,0.25434261560440063,0.7568405758204061,0.124251276,0.24641393
ENSDARG00000055238,0.18585990369319916,0.13106295149638802,0.27850068,0.89827126
ENSDARG00000102415,0.3584805727005005,0.9298245614035088,0.090911284,0.18190701
ENSDARG00000100166,0.24969720840454102,0.6264189886480908,0.09894062,0.20658235
ENSDARG00000009262,0.4335893988609314,0.2115583075335397,0.31357902,0.82965076
ENSDARG00000013965,0.4437199831008911,0.2693498452012384,0.32025394,0.7286219
ENSDARG00000115100,0.5102129578590393,0.8493292053663571,0.26617232,0.6277028
ENSDARG00000091116,0.11137498170137405,0.4076701041992349,0.07889767,0.16513519
ENSDARG00000045554,0.14075185358524323,0.785682646833061,0.10095871,0.26603138
ENSDARG00000100981,0.16375459730625153,0.9422084623323013,0.108652204,0.25733215
ENSDARG00000031420,0.29505428671836853,0.731600364146705,0.19801848,0.34550324
ENSDARG00000023104,0.5179940462112427,0.6181630546955624,0.2724459,0.66214675
ENSDARG00000098114,0.2647691071033478,0.9566563467492261,0.12880664,0.3171754
ENSDARG00000112337,0.5375731587409973,0.32920536635706915,0.34796274,0.88787884
ENSDARG00000086150,0.35221347212791443,0.9380804953560371,0.21707824,0.522922
ENSDARG00000060569,0.29349446296691895,0.8885448916408669,0.101544246,0.24748018
ENSDARG00000006812,0.19915255904197693,0.8059855521155831,0.11826174,0.23296253
ENSDARG00000099104,0.21046578884124756,0.7254901960784313,0.15612806,0.34953222
ENSDARG00000059916,0.27111318707466125,0.4406604747162023,0.22653896,0.9105014
ENSDARG00000076838,0.5521302223205566,0.9256965944272446,0.15660115,0.3437524
ENSDARG00000104339,0.4475609362125397,0.762641898864809,0.27595577,0.7175087
ENSDARG00000002816,0.042019691318273544,0.734877662682894,0.040419884,0.14955865
ENSDARG00000019326,0.3856948912143707,0.413828689370485,0.23075612,0.4704745
ENSDARG00000045555,0.35047903656959534,0.4179566563467492,0.23873867,0.7648707
ENSDARG00000105281,0.16161057353019714,0.9695406557917616,0.11918255,0.28976947
ENSDARG00000099767,0.38469523191452026,0.8224974200206397,0.19342752,0.5537805
ENSDARG00000025311,0.19197897613048553,0.7282714656030403,0.12585984,0.44626912
ENSDARG00000105274,0.366058349609375,0.6222910216718266,0.087920584,0.17150947
ENSDARG00000026979,0.4203427731990814,0.899389691171329,0.10746712,0.27933693
ENSDARG00000034453,0.5474849939346313,0.479876160990712,0.33401728,0.7540942
ENSDARG00000067981,0.24067500233650208,0.890608875128999,0.19652663,0.44911653
ENSDARG00000042652,0.4637086093425751,0.04437564499484004,0.31544667,1.0855935
ENSDARG00000059581,0.3080061972141266,0.22187822497420018,0.22406735,0.8715833
ENSDARG00000013847,0.10581308603286743,0.977296181630547,0.05015891,0.11481649
ENSDARG00000052190,0.4005574584007263,0.890608875128999,0.13010803,0.506689
ENSDARG00000042873,0.4120855927467346,0.2631578947368421,0.2793869,1.0201476
ENSDARG00000111374,0.422884076833725,0.9166625738059935,0.14313582,0.3052613
ENSDARG00000112868,0.7134775519371033,0.017543859649122806,0.2897513,0.99959314
ENSDARG00000038097,0.22471418976783752,0.6573787409700722,0.12887189,0.28978744
ENSDARG00000105208,1.155113697052002,0.45098039215686275,0.27268863,0.7988083
ENSDARG00000071684,0.3393421769142151,0.7661332977609022,0.18627582,0.330049
ENSDARG00000096162,0.4006419777870178,-0.06479145405248109,0.32712173,0.8043802
ENSDARG00000017086,0.19907519221305847,0.4674922600619195,0.1448935,0.52785605
ENSDARG00000098907,0.6020261645317078,0.6986584107327141,0.2795254,0.5229787
ENSDARG00000041083,0.050105269998311996,0.5247276575847105,0.013281791,0.0424984
