GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000000001,0.406,1.11,0.196,0.521,1.21,0.192,0.572,0.107,0.0971,0.922
ENSDARG00000000002,0.937,1.48,0.0958,0.493,11.6,0.455,0.799,0.0597,0.0871,2.68
ENSDARG00000000018,6.35,1.41,0.195,0.817,0.695,2.74,0.759,0.0927,0.172,0.422
ENSDARG00000000019,5.86,0.395,0.114,0.252,1.94,3.2,0.128,0.0716,0.0559,1.49
ENSDARG00000000068,10.4,0.4,0.644,0.538,1.07,3.87,0.168,0.243,0.0814,0.575
ENSDARG00000000069,33.1,,0.58,0.348,2.19,23.4,,0.712,0.149,1.22
ENSDARG00000000086,5.18,1.24,0.458,0.465,0.542,2.16,0.795,0.252,0.101,0.277
ENSDARG00000000103,6.65,1.18,0.176,0.32,1.09,1.74,0.553,0.053,0.0626,0.543
ENSDARG00000000142,1.59,1.14,0.361,0.656,0.646,0.833,0.797,0.217,0.152,0.544
ENSDARG00000000151,0.441,1.17,0.156,0.66,2.08,0.215,0.557,0.0993,0.111,2.03
ENSDARG00000000161,0.354,1.5,0.0804,0.394,22.0,0.202,0.8,0.0602,0.0797,8.05
ENSDARG00000000175,1.01,1.59,0.0784,0.843,2.49,0.399,0.852,0.0408,0.139,2.19
ENSDARG00000000183,0.815,1.55,0.133,0.386,3.07,0.346,0.282,0.0665,0.0698,1.8
ENSDARG00000000189,0.452,1.6,0.0513,0.4,6.38,0.235,0.497,0.0426,0.0879,2.53
ENSDARG00000000212,99.7,1.59,0.293,0.898,3.37,39.5,0.846,0.132,0.166,0.323
ENSDARG00000000229,3.23,1.58,0.33,0.344,0.489,1.01,0.828,0.116,0.0798,0.222
ENSDARG00000000241,2.12,1.3,0.0596,0.381,7.22,0.729,0.736,0.0287,0.0731,1.25
ENSDARG00000000324,1.15,1.23,0.0993,0.235,1.56,0.391,0.277,0.0431,0.0471,1.01
ENSDARG00000000349,0.143,1.69,0.115,0.29,4.22,0.0552,0.876,0.048,0.0586,1.84
ENSDARG00000000369,1.08,1.46,0.116,0.228,8.83,0.296,0.807,0.0377,0.0468,0.798
ENSDARG00000000370,0.763,1.57,0.146,0.27,6.39,0.362,0.827,0.0796,0.0529,0.99
ENSDARG00000000380,1.03,1.42,0.105,0.523,46.1,0.51,0.786,0.0807,0.101,11.3
ENSDARG00000000394,13.0,0.392,0.173,0.58,1.24,5.48,0.291,0.0743,0.144,0.817
ENSDARG00000000423,0.855,1.17,0.168,0.759,1.12,0.39,0.62,0.088,0.138,0.824
ENSDARG00000000442,2.21,0.717,0.156,0.744,1.24,0.968,0.376,0.0757,0.14,0.891
ENSDARG00000000472,0.401,1.55,0.0705,0.503,1.66,0.166,0.818,0.0469,0.0945,1.78
ENSDARG00000000476,0.641,0.753,0.158,0.684,1.29,0.294,0.401,0.0795,0.129,0.947
ENSDARG00000000489,5.47,0.457,0.2,0.346,1.21,1.97,0.265,0.0717,0.0812,0.761
ENSDARG00000000503,1.95,1.57,0.0148,0.182,14.8,0.319,0.832,0.00644,0.0451,0.378
ENSDARG00000000529,0.97,1.06,0.148,0.457,1.78,0.337,0.231,0.0558,0.0871,1.19
ENSDARG00000000540,1.62,0.143,0.135,0.274,2.91,0.679,0.0737,0.0538,0.0752,2.36
