GeneID,RMSLE,Spearman,NRMSE_range,MASE
ENSDARG00000003165,0.4622269570827484,0.7192982456140351,0.23357105,0.6025682
ENSDARG00000056638,0.48055699467658997,0.7069143446852425,0.2208946,0.43734616
ENSDARG00000036028,0.37612980604171753,0.7358101135190918,0.1760232,0.6902106
ENSDARG00000094892,0.4874085783958435,0.6780185758513931,0.13325815,0.42661828
ENSDARG00000104353,0.48002877831459045,0.8101135190918473,0.27405798,0.7686451
ENSDARG00000069957,1.522579550743103,-0.6284829721362228,0.3104285,0.9092874
ENSDARG00000005141,0.2757430970668793,0.9100738754256654,0.15479659,0.35230175
ENSDARG00000089490,0.10814468562602997,0.8558518683364197,0.1377658,0.32981703
ENSDARG00000075718,0.40927132964134216,0.9416624899702735,0.12973846,0.30493906
ENSDARG00000067729,0.5987231135368347,0.632610939112487,0.25753736,0.71538305
ENSDARG00000076699,0.4874145984649658,0.7911082070456461,0.2283269,0.831673
ENSDARG00000036194,0.3148452639579773,0.6027052025035089,0.17241867,0.47167
ENSDARG00000042737,0.18735624849796295,0.8861194065742419,0.11892712,0.31165543
ENSDARG00000114829,0.30938392877578735,0.7681983470810125,0.19486834,0.52481014
ENSDARG00000069360,0.13577474653720856,0.9133126934984519,0.09417134,0.3402358
ENSDARG00000073965,0.3119845390319824,0.5537318780604993,0.271331,0.7057495
ENSDARG00000034836,0.4642702043056488,0.6487603305785125,0.24682085,0.58419013
ENSDARG00000074772,0.3447897732257843,0.9483837330552657,0.103957936,0.2589678
ENSDARG00000002172,1.2722514867782593,0.08771929824561403,0.37282622,0.85055685
ENSDARG00000110889,0.13999910652637482,0.8438078539241874,0.11507176,0.2138409
ENSDARG00000010773,0.346376895904541,0.6924664602683178,0.24063131,0.8001399
ENSDARG00000100946,0.46605682373046875,0.2198142414860681,0.30788785,0.81461555
ENSDARG00000067784,0.4678403437137604,0.8018575851393188,0.22264577,0.464551
ENSDARG00000078133,0.31068238615989685,0.7337461300309597,0.21241547,0.4618162
ENSDARG00000007086,0.3074581027030945,0.8686603661476383,0.17142095,0.44728085
ENSDARG00000016412,0.18153712153434753,0.3869346652905487,0.06482565,0.13116665
ENSDARG00000045926,0.2621994614601135,0.7866770551845922,0.12479527,0.20221087
ENSDARG00000029510,0.226858451962471,0.1991744066047472,0.23061876,0.87146467
ENSDARG00000016212,0.540269136428833,-0.6181630546955624,0.32464698,1.1732185
ENSDARG00000008200,0.505031168460846,0.6222910216718266,0.23632231,0.7367106
ENSDARG00000109716,1.0955568552017212,0.6209446286457763,0.29935235,0.6078787
ENSDARG00000077533,0.23949716985225677,0.6181630546955624,0.1465657,0.43302363
ENSDARG00000099753,0.6926331520080566,0.013415892672858616,0.34687597,0.8963455
ENSDARG00000086980,0.3739752173423767,0.16821465428276572,0.3579208,0.9889441
ENSDARG00000079238,0.6899424195289612,-0.09184726522187822,0.3399947,0.78620523
ENSDARG00000012741,0.3409539461135864,0.5170278637770898,0.19394287,0.40146974
ENSDARG00000095809,0.5074737071990967,0.8780480486761636,0.2363718,0.5034386
ENSDARG00000013775,0.14435410499572754,0.8999446530437117,0.09560431,0.2598448
ENSDARG00000075395,0.3853587806224823,0.35397316821465424,0.2180748,0.7310427
ENSDARG00000088225,0.25176572799682617,0.8823529411764706,0.18237554,0.4788382
ENSDARG00000036894,0.4572553038597107,0.8164010230124983,0.15632074,0.27416858
ENSDARG00000110312,0.2160811573266983,0.7440660474716203,0.21046385,0.7802987
ENSDARG00000035913,0.6644629240036011,-0.4303405572755417,0.3858395,0.9846687
ENSDARG00000086459,0.37692415714263916,0.6635706914344685,0.06457922,0.14455009
ENSDARG00000020031,0.14841710031032562,0.9668179840503791,0.057708923,0.1075675
ENSDARG00000089418,0.6011732220649719,0.9566563467492261,0.18454172,0.46845704
ENSDARG00000045851,0.2053048461675644,0.4522458011041444,0.22503956,0.70561814
