GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000000001,0.252,0.114,0.554,0.214,0.0831,0.0942
ENSDARG00000000002,0.25,0.0265,0.576,0.0959,0.0222,0.108
ENSDARG00000000018,15.3,0.424,0.648,7.16,0.208,0.124
ENSDARG00000000019,7.91,0.169,0.358,2.67,0.0455,0.0656
ENSDARG00000000068,1.9,0.103,0.614,1.1,0.0453,0.103
ENSDARG00000000069,53.1,0.489,0.187,8.41,0.0628,0.0381
ENSDARG00000000086,6.87,0.522,0.44,3.03,0.243,0.0849
ENSDARG00000000103,5.03,0.138,0.336,2.79,0.0819,0.0619
ENSDARG00000000142,2.23,0.415,0.657,1.48,0.274,0.123
ENSDARG00000000151,0.399,0.142,0.756,0.286,0.0862,0.124
ENSDARG00000000161,0.0758,0.0177,0.363,0.0308,0.0197,0.0769
ENSDARG00000000175,0.859,0.0716,0.838,0.333,0.0414,0.136
ENSDARG00000000183,1.55,0.317,0.734,0.636,0.0881,0.122
ENSDARG00000000189,1.18,0.29,0.814,0.779,0.185,0.133
ENSDARG00000000212,25.3,0.0872,1.47,13.2,0.0636,0.228
ENSDARG00000000229,3.41,0.352,0.333,0.953,0.113,0.0629
ENSDARG00000000241,0.656,0.0183,0.658,0.176,0.0114,0.119
ENSDARG00000000324,2.75,0.298,0.451,1.04,0.0927,0.0805
ENSDARG00000000349,0.0836,0.0778,0.352,0.04,0.0482,0.0637
ENSDARG00000000369,0.26,0.026,0.506,0.0689,0.0137,0.0919
ENSDARG00000000370,0.182,0.0269,0.387,0.0475,0.0138,0.0733
ENSDARG00000000380,0.189,0.0779,0.648,0.18,0.119,0.129
ENSDARG00000000394,2.07,0.0367,0.464,1.84,0.0202,0.085
ENSDARG00000000423,0.787,0.133,0.754,0.745,0.114,0.125
ENSDARG00000000442,0.819,0.0625,0.697,0.742,0.0409,0.117
ENSDARG00000000472,0.269,0.0457,0.473,0.139,0.0402,0.085
ENSDARG00000000476,0.265,0.068,0.646,0.227,0.0435,0.11
ENSDARG00000000489,0.676,0.0344,0.251,0.389,0.0136,0.0496
ENSDARG00000000503,0.685,0.0213,1.05,0.327,0.031,0.199
ENSDARG00000000529,1.38,0.251,0.501,0.515,0.0591,0.0891
ENSDARG00000000540,0.69,0.0695,0.247,0.178,0.00986,0.0473
ENSDARG00000000542,0.286,0.0429,0.41,0.161,0.0119,0.0741
ENSDARG00000000551,0.631,0.0393,0.637,0.23,0.0251,0.111
ENSDARG00000000563,0.456,0.0169,0.745,0.136,0.0118,0.137
ENSDARG00000000567,3.1,0.179,0.667,1.16,0.0799,0.115
ENSDARG00000000568,3.51,0.315,0.558,1.06,0.061,0.0973
ENSDARG00000000588,0.576,0.0955,0.711,0.542,0.0778,0.118
ENSDARG00000000631,3.25,0.265,0.754,2.55,0.214,0.132
ENSDARG00000000651,0.544,0.142,0.408,0.152,0.0497,0.0723
ENSDARG00000000656,0.0246,0.0562,0.257,0.0245,0.0456,0.0479
ENSDARG00000000666,0.624,0.0331,0.474,0.167,0.0176,0.0848
ENSDARG00000000690,1.17,0.114,0.51,0.969,0.103,0.0878
ENSDARG00000000729,1.64,0.117,0.336,0.488,0.0169,0.0613
ENSDARG00000000730,2.0,0.427,0.494,0.55,0.0727,0.0871
ENSDARG00000000747,0.101,0.0769,0.413,0.0545,0.0203,0.074
ENSDARG00000000760,0.784,0.131,0.413,0.38,0.0478,0.0732
ENSDARG00000000767,0.15,0.0488,0.403,0.0481,0.0258,0.0727
ENSDARG00000000779,7.63,0.221,0.422,5.65,0.165,0.0777
ENSDARG00000000796,2.34,0.394,0.98,1.43,0.23,0.158
ENSDARG00000000804,0.435,0.0384,0.706,0.179,0.0271,0.122
ENSDARG00000000830,3.19,0.327,0.6,2.17,0.221,0.116
ENSDARG00000000837,0.828,0.176,0.782,0.542,0.0955,0.129
ENSDARG00000000853,8.23,0.273,0.253,1.25,0.0268,0.0486
ENSDARG00000000857,0.914,0.0406,0.487,0.616,0.016,0.0878
ENSDARG00000000861,3.21,0.0673,0.288,1.55,0.0212,0.0537
ENSDARG00000000887,1.3,0.169,0.5,0.435,0.0157,0.0876
ENSDARG00000000906,0.529,0.148,0.49,0.356,0.0887,0.0842
ENSDARG00000000935,0.352,0.104,0.544,0.272,0.0699,0.0923
ENSDARG00000000943,1.62,0.125,0.78,0.586,0.0581,0.13
ENSDARG00000000966,2.1,0.146,0.688,1.66,0.12,0.113
ENSDARG00000001014,2.56,0.0722,0.388,1.47,0.0517,0.0694
