ensembl_gene_id,supercluster,subcluster
ENSDARG00000000001,2,1
ENSDARG00000000002,3,1
ENSDARG00000000018,0,0
ENSDARG00000000019,2,1
ENSDARG00000000068,2,0
ENSDARG00000000068,2,2
ENSDARG00000000103,1,0
ENSDARG00000000103,1,2
ENSDARG00000000142,0,1
ENSDARG00000000151,2,1
ENSDARG00000000161,3,0
ENSDARG00000000175,1,1
ENSDARG00000000175,1,0
ENSDARG00000000183,2,1
ENSDARG00000000189,3,1
ENSDARG00000000241,1,1
ENSDARG00000000241,1,1
ENSDARG00000000349,1,1
ENSDARG00000000349,1,0
ENSDARG00000000369,1,1
ENSDARG00000000369,1,1
ENSDARG00000000370,1,1
ENSDARG00000000370,1,0
ENSDARG00000000380,3,0
ENSDARG00000000394,0,0
ENSDARG00000000394,0,0
ENSDARG00000000423,2,0
ENSDARG00000000423,2,2
ENSDARG00000000442,0,1
ENSDARG00000000442,0,2
ENSDARG00000000472,3,1
ENSDARG00000000474,3,0
ENSDARG00000000476,0,1
ENSDARG00000000476,0,1
ENSDARG00000000489,0,0
ENSDARG00000000503,1,1
ENSDARG00000000529,2,1
ENSDARG00000000540,0,1
ENSDARG00000000540,0,1
ENSDARG00000000542,0,1
ENSDARG00000000542,0,1
ENSDARG00000000551,1,0
ENSDARG00000000563,1,1
ENSDARG00000000567,1,1
ENSDARG00000000567,1,1
ENSDARG00000000568,2,1
ENSDARG00000000588,2,1
ENSDARG00000000588,2,1
ENSDARG00000000631,2,1
ENSDARG00000000631,2,1
ENSDARG00000000656,0,1
ENSDARG00000000656,0,1
ENSDARG00000000666,1,1
ENSDARG00000000690,1,1
ENSDARG00000000690,1,0
ENSDARG00000000729,2,1
ENSDARG00000000729,2,1
ENSDARG00000000730,2,1
ENSDARG00000000747,2,1
ENSDARG00000000747,2,1
ENSDARG00000000760,0,1
ENSDARG00000000760,0,1
ENSDARG00000000767,1,1
ENSDARG00000000767,1,1
ENSDARG00000000779,0,1
ENSDARG00000000796,3,1
ENSDARG00000000804,1,1
ENSDARG00000000804,1,0
ENSDARG00000000830,0,1
ENSDARG00000000837,2,1
ENSDARG00000000853,2,1
ENSDARG00000000857,0,1
ENSDARG00000000857,0,2
ENSDARG00000000861,0,1
ENSDARG00000000887,0,1
ENSDARG00000000887,0,1
ENSDARG00000000906,2,1
ENSDARG00000000935,2,1
ENSDARG00000000966,3,1
ENSDARG00000001014,1,0
ENSDARG00000001015,3,1
ENSDARG00000001127,3,1
ENSDARG00000001129,0,1
ENSDARG00000001154,3,1
ENSDARG00000001162,0,0
ENSDARG00000001162,0,0
ENSDARG00000001169,2,1
ENSDARG00000001210,2,1
ENSDARG00000001210,2,1
ENSDARG00000001220,3,1
ENSDARG00000001234,3,1
ENSDARG00000001241,0,0
ENSDARG00000001244,0,0
ENSDARG00000001244,0,0
ENSDARG00000001249,2,1
ENSDARG00000001259,3,1
ENSDARG00000001303,2,0
ENSDARG00000001303,2,2
ENSDARG00000001313,0,1
ENSDARG00000001354,1,1
ENSDARG00000001431,1,1
ENSDARG00000001437,1,1
ENSDARG00000001437,1,1
ENSDARG00000001442,2,1
ENSDARG00000001447,0,1
ENSDARG00000001463,3,0
ENSDARG00000001470,2,1
ENSDARG00000001498,1,1
ENSDARG00000001498,1,0
ENSDARG00000001549,0,1
ENSDARG00000001549,0,2
ENSDARG00000001557,0,1
ENSDARG00000001558,0,1
ENSDARG00000001559,3,1
ENSDARG00000001621,2,1
ENSDARG00000001634,1,1
ENSDARG00000001634,1,0
ENSDARG00000001676,1,0
ENSDARG00000001686,3,0
ENSDARG00000001710,3,1
ENSDARG00000001712,1,0
ENSDARG00000001712,1,2
ENSDARG00000001721,0,0
ENSDARG00000001721,0,0
ENSDARG00000001734,2,1
ENSDARG00000001754,0,0
ENSDARG00000001754,0,0
ENSDARG00000001760,3,0
ENSDARG00000001769,2,1
ENSDARG00000001771,3,0
ENSDARG00000001776,0,1
ENSDARG00000001777,0,1
ENSDARG00000001781,1,0
ENSDARG00000001781,1,2
ENSDARG00000001782,1,1
ENSDARG00000001782,1,0
ENSDARG00000001785,1,1
ENSDARG00000001788,1,0
ENSDARG00000001788,1,2
ENSDARG00000001803,1,1
ENSDARG00000001803,1,0
ENSDARG00000001804,2,1
ENSDARG00000001807,3,0
ENSDARG00000001817,2,1
ENSDARG00000001818,3,0
ENSDARG00000001825,1,1
ENSDARG00000001825,1,0
ENSDARG00000001835,3,1
ENSDARG00000001857,2,1
ENSDARG00000001859,1,1
ENSDARG00000001859,1,0
ENSDARG00000001870,3,1
ENSDARG00000001873,0,0
ENSDARG00000001880,2,1
ENSDARG00000001881,3,1
ENSDARG00000001882,3,0
ENSDARG00000001888,2,0
ENSDARG00000001888,2,0
ENSDARG00000001889,1,1
ENSDARG00000001889,1,1
ENSDARG00000001890,0,1
ENSDARG00000001891,3,1
ENSDARG00000001897,0,1
ENSDARG00000001897,0,1
ENSDARG00000001909,3,0
ENSDARG00000001910,3,0
ENSDARG00000001912,2,1
ENSDARG00000001913,1,1
ENSDARG00000001913,1,1
ENSDARG00000001929,2,1
ENSDARG00000001930,2,1
ENSDARG00000001933,1,1
ENSDARG00000001937,1,1
ENSDARG00000001937,1,1
ENSDARG00000001939,0,0
ENSDARG00000001939,0,2
ENSDARG00000001940,2,1
ENSDARG00000001940,2,1
ENSDARG00000001950,1,1
ENSDARG00000001953,3,0
ENSDARG00000001968,2,0
ENSDARG00000001969,2,1
ENSDARG00000001971,3,0
ENSDARG00000001975,3,0
ENSDARG00000001976,1,1
ENSDARG00000001976,1,1
ENSDARG00000001993,3,0
ENSDARG00000001994,1,1
ENSDARG00000002002,3,1
ENSDARG00000002006,2,0
ENSDARG00000002013,2,1
ENSDARG00000002013,2,1
ENSDARG00000002016,0,1
ENSDARG00000002016,0,2
ENSDARG00000002020,2,1
ENSDARG00000002021,3,1
ENSDARG00000002026,1,1
ENSDARG00000002031,0,1
ENSDARG00000002037,3,1
ENSDARG00000002060,2,1
ENSDARG00000002071,1,1
ENSDARG00000002077,2,1
ENSDARG00000002082,0,0
ENSDARG00000002084,1,1
ENSDARG00000002084,1,1
ENSDARG00000002097,3,0
ENSDARG00000002128,0,1
ENSDARG00000002128,0,1
ENSDARG00000002131,1,0
ENSDARG00000002165,2,1
ENSDARG00000002165,2,1
ENSDARG00000002167,3,1
ENSDARG00000002168,0,1
ENSDARG00000002168,0,2
ENSDARG00000002174,0,1
ENSDARG00000002184,0,1
ENSDARG00000002190,2,1
ENSDARG00000002192,3,0
ENSDARG00000002193,3,0
ENSDARG00000002194,1,1
ENSDARG00000002196,1,1
ENSDARG00000002196,1,0
ENSDARG00000002197,3,1
ENSDARG00000002204,1,1
ENSDARG00000002204,1,1
ENSDARG00000002210,3,0
ENSDARG00000002213,0,1
ENSDARG00000002213,0,1
ENSDARG00000002215,0,0
ENSDARG00000002216,1,1
ENSDARG00000002216,1,0
ENSDARG00000002217,1,1
ENSDARG00000002217,1,1
ENSDARG00000002219,3,0
ENSDARG00000002220,0,0
ENSDARG00000002220,0,0
ENSDARG00000002230,3,0
ENSDARG00000002231,0,1
ENSDARG00000002235,1,1
ENSDARG00000002240,1,1
ENSDARG00000002240,1,1
ENSDARG00000002241,3,0
ENSDARG00000002249,3,1
ENSDARG00000002255,3,1
ENSDARG00000002259,3,0
ENSDARG00000002264,1,1
ENSDARG00000002264,1,1
ENSDARG00000002267,0,0
ENSDARG00000002267,0,2
ENSDARG00000002271,2,0
ENSDARG00000002285,2,0
ENSDARG00000002293,0,0
ENSDARG00000002293,0,0
ENSDARG00000002295,3,0
ENSDARG00000002298,2,1
ENSDARG00000002299,1,1
ENSDARG00000002299,1,0
ENSDARG00000002300,3,0
ENSDARG00000002311,3,1
ENSDARG00000002330,2,1
ENSDARG00000002332,2,0
ENSDARG00000002332,2,2
ENSDARG00000002333,3,1
ENSDARG00000002339,2,0
ENSDARG00000002339,2,2
ENSDARG00000002344,1,1
ENSDARG00000002344,1,0
ENSDARG00000002347,2,1
ENSDARG00000002347,2,1
ENSDARG00000002353,2,0
ENSDARG00000002353,2,0
ENSDARG00000002355,2,0
ENSDARG00000002355,2,2
ENSDARG00000002362,3,0
ENSDARG00000002369,0,0
ENSDARG00000002369,0,0
ENSDARG00000002377,2,1
ENSDARG00000002391,3,0
ENSDARG00000002394,3,0
ENSDARG00000002396,2,1
ENSDARG00000002396,2,1
ENSDARG00000002401,0,1
ENSDARG00000002402,0,0
ENSDARG00000002402,0,0
ENSDARG00000002403,0,0
ENSDARG00000002405,1,1
ENSDARG00000002406,0,1
ENSDARG00000002411,1,1
ENSDARG00000002411,1,0
ENSDARG00000002463,2,1
ENSDARG00000002467,2,1
ENSDARG00000002467,2,2
ENSDARG00000002479,0,0
ENSDARG00000002483,1,1
ENSDARG00000002483,1,0
ENSDARG00000002494,1,0
ENSDARG00000002506,0,1
ENSDARG00000002506,0,1
ENSDARG00000002507,3,0
ENSDARG00000002508,3,0
ENSDARG00000002509,2,0
ENSDARG00000002509,2,2
ENSDARG00000002510,1,1
ENSDARG00000002510,1,0
ENSDARG00000002533,1,1
ENSDARG00000002533,1,0
ENSDARG00000002536,0,1
ENSDARG00000002536,0,1
ENSDARG00000002538,0,1
ENSDARG00000002538,0,1
ENSDARG00000002546,3,1
ENSDARG00000002549,2,0
ENSDARG00000002552,0,1
ENSDARG00000002552,0,1
ENSDARG00000002564,3,1
ENSDARG00000002571,2,0
ENSDARG00000002571,2,2
ENSDARG00000002576,3,0
ENSDARG00000002582,1,1
ENSDARG00000002587,1,1
ENSDARG00000002589,1,1
ENSDARG00000002591,0,1
ENSDARG00000002591,0,1
ENSDARG00000002593,1,1
ENSDARG00000002597,2,1
ENSDARG00000002600,3,0
ENSDARG00000002601,0,0
ENSDARG00000002601,0,0
ENSDARG00000002607,3,1
ENSDARG00000002609,0,0
ENSDARG00000002609,0,0
ENSDARG00000002613,0,1
ENSDARG00000002613,0,1
ENSDARG00000002632,1,0
ENSDARG00000002632,1,2
ENSDARG00000002635,3,0
