ensembl_gene_id,ymin,ymax,range,y0,y1,y120,t_max,type,tpm_level,cluster,subcluster,cluster_name
ENSDARG00000000001,1.1844232,13.10002,11.9155968,2.781528,4.892666,2.8186860000000005,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000002,0.2121845999999999,13.21564,13.003455399999998,0.3486278,4.170626,11.82968,96.0,maternal,medium,4.0,3.0,SU post-ZGA
ENSDARG00000000018,6.5564108,115.711594,109.1551832,6.5564108,13.1439136,15.863294000000002,3.0,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000000019,25.38348,159.68920000000003,134.30572000000004,139.28939999999997,150.735,61.52872,4.3,maternal,medium,0.0,3.0,SD
ENSDARG00000000068,7.588388,85.2755634,77.6871754,41.2259718,46.6015318,28.86918,2.25,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000000069,88.05828,558.7241999999999,470.6659199999999,558.7241999999999,495.4362,102.34332,0.0,maternal,medium,0.0,0.0,SD
ENSDARG00000000086,2.2991078,26.962606,24.6634982,2.2991078,4.5461568,14.9957254,3.0,maternal,medium,1.0,4.0,TU pre-ZGA
ENSDARG00000000103,12.54358,51.133668,38.590088,22.516764,12.54358,24.34724,24.0,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000000142,1.4862846,19.14646,17.6601754,1.6125432,5.286023999999999,5.1854260000000005,2.25,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000151,1.1622308,34.278479999999995,33.11624919999999,5.270804,7.626766000000001,4.5583100000000005,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000161,0.1136932,6.2800734,6.1663802,0.1136932,0.1376662,4.930082400000001,96.0,maternal,low,4.0,2.0,SU post-ZGA
ENSDARG00000000175,0.2027702,24.21942,24.0166498,0.2898018,0.3484784,5.811586,16.0,maternal,medium,3.0,2.0,SU ZGA
ENSDARG00000000183,1.3702992,86.26268,84.8923808,45.156584,57.98482800000001,8.841104,3.0,maternal,medium,0.0,4.0,SD
ENSDARG00000000189,0.4887881999999999,18.879493,18.3907048,7.303033400000001,11.1522634,12.542339199999995,3.0,maternal,medium,1.0,0.0,TU pre-ZGA
ENSDARG00000000212,0.574819,1284.0939999999998,1283.519181,0.8185988,1.0026168,583.5778,6.0,maternal,high,2.0,3.0,TU post-ZGA
ENSDARG00000000229,0.2811328,11.379506,11.0983732,0.2811328,1.053503,5.9127600000000005,36.0,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000000241,0.3667476,41.11464,40.747892400000005,0.3667476,0.4724039999999999,37.0712,96.0,maternal,medium,4.0,3.0,SU post-ZGA
ENSDARG00000000324,6.194802,38.441680000000005,32.246878,30.939960000000003,32.198440000000005,16.11838,2.25,maternal,medium,0.0,4.0,SD
ENSDARG00000000349,0.0,2.29369,2.29369,0.3206362,0.1368662,0.577351,24.0,maternal,low,3.0,3.0,SU ZGA
ENSDARG00000000369,0.057211,11.3237,11.266488999999998,0.1245514,0.300438,9.993136,36.0,maternal,medium,3.0,4.0,SU ZGA
ENSDARG00000000370,0.0435358,7.921248,7.8777122,0.1161589999999999,0.066537,7.921248,120.0,maternal,low,4.0,3.0,SU post-ZGA
ENSDARG00000000380,0.1340834,12.3792274,12.245144,0.4448778,0.3881264,10.4591362,96.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000000394,40.27482,288.9316,248.65678,125.61382,141.6065,40.27482,6.0,maternal,medium,2.0,1.0,TU post-ZGA
ENSDARG00000000423,3.025524,44.55942,41.533896,4.39189,5.867354,3.447406,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000442,7.38223,134.69868000000002,127.31645000000005,23.62852,30.20568,7.38223,3.0,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000000460,0.0,0.3268011999999999,0.3268011999999999,0.0,0.0,0.2711662,96.0,zygotic,low,,,
ENSDARG00000000472,0.6421300000000001,10.446657,9.804527,0.6421300000000001,2.7781177999999995,6.7495222,48.0,maternal,medium,4.0,0.0,SU post-ZGA
ENSDARG00000000474,0.0,0.8768426,0.8768426,0.0,0.0,0.20914,96.0,zygotic,low,,,
ENSDARG00000000476,2.4029199999999995,31.8601058,29.4571858,6.826649999999999,11.824686000000002,3.685476,2.25,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000000489,17.0776688,66.24956,49.171891200000005,43.23374,33.81372,20.821720000000003,4.3,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000000503,0.019323,109.3138,109.294477,0.0312587999999999,0.0660066,92.6144,72.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000000516,0.0,0.3678824,0.3678824,0.0182823999999999,0.0536896,0.1114961999999999,36.0,maternal,low,,,
ENSDARG00000000529,3.550204,75.27708,71.726876,75.27708,73.8538,4.025178,0.0,maternal,medium,0.0,3.0,SD
ENSDARG00000000540,8.6319564,106.8311432,98.1991868,68.7356016,50.7565476,8.6319564,4.3,maternal,medium,0.0,3.0,SD
ENSDARG00000000542,5.5065294,86.88327999999998,81.37675059999998,35.959514,33.4778118,5.5065294,2.25,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000000551,0.7975516,30.36012,29.562568400000004,1.4198486,2.4164264,9.373957999999998,24.0,maternal,medium,3.0,3.0,SU ZGA
ENSDARG00000000563,0.023614,35.926100000000005,35.902486,0.0285136,0.0443212,35.926100000000005,120.0,maternal,medium,4.0,0.0,SU post-ZGA
ENSDARG00000000567,1.3978940000000002,36.1026988,34.7048048,1.3978940000000002,3.079954,5.8657840000000006,5.25,maternal,medium,2.0,2.0,TU post-ZGA
ENSDARG00000000568,10.3038558,215.748337,205.4444812,143.5616854,144.064844,14.3984628,3.0,maternal,medium,0.0,4.0,SD
ENSDARG00000000588,2.316764,46.78262,44.465856,6.396482000000001,8.643808000000002,5.333907999999999,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000606,0.0,0.318439,0.318439,0.0,0.0062502,0.214926,36.0,maternal,low,,,
ENSDARG00000000631,3.8807312,63.968546,60.0878148,4.2960452,12.2970386,9.897156999999998,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000638,0.0,0.1188318,0.1188318,0.0,0.1188318,0.0,0.75,maternal,low,,,
ENSDARG00000000651,0.0,6.699617999999999,6.699617999999999,0.0,0.0,2.71666,10.3,zygotic,low,3.0,1.0,SU ZGA
ENSDARG00000000656,0.126437,1.6487888000000002,1.5223518000000005,0.6406745999999999,1.3186778,0.2064392,16.0,maternal,low,0.0,0.0,SD
ENSDARG00000000666,0.3719528,26.9595,26.5875472,0.3719528,0.921095,26.9595,120.0,maternal,medium,4.0,3.0,SU post-ZGA
ENSDARG00000000690,3.017676,19.77472,16.757044,10.581184,6.232472,6.679761999999999,24.0,maternal,medium,3.0,3.0,SU ZGA
ENSDARG00000000729,9.8734298,294.15388,284.2804502,240.2663,294.15388,9.8734298,0.75,maternal,medium,0.0,3.0,SD
ENSDARG00000000730,3.5577196,67.675072,64.1173524,67.675072,47.3178552,7.681002000000001,0.0,maternal,medium,0.0,4.0,SD
ENSDARG00000000747,1.0576482,20.9097382,19.85209,9.7556868,17.0135766,1.5311022,2.25,maternal,medium,0.0,4.0,SD
ENSDARG00000000760,4.594612,42.412220000000005,37.81760800000001,21.0943,13.559778,6.75614,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000767,0.0,4.4747,4.4747,0.0,0.0,4.4747,120.0,zygotic,low,3.0,2.0,SU ZGA
ENSDARG00000000779,18.07624,72.66484,54.5886,22.79866,18.07624,23.02294,2.25,maternal,medium,1.0,4.0,TU pre-ZGA
ENSDARG00000000796,0.1954836,30.614373,30.4188894,14.072607,20.454159,23.892707,72.0,maternal,medium,4.0,1.0,SU post-ZGA
ENSDARG00000000804,0.1132622,15.5568652,15.443603,1.479886,1.0255994,11.9585716,24.0,maternal,medium,3.0,4.0,SU ZGA
ENSDARG00000000830,3.764146,21.96522,18.201074,3.80373,16.614656000000004,4.332636,2.25,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000000837,0.6512916000000001,36.904077,36.2527854,9.936811600000002,12.7264384,10.3859444,3.0,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000000853,25.85054,361.87376000000006,336.02322000000004,361.87376000000006,354.79999999999995,29.311928,0.0,maternal,medium,0.0,3.0,SD
ENSDARG00000000857,17.466458,168.87654000000003,151.41008200000005,70.910704,91.7793658,17.466458,3.0,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000000861,36.5237724,205.166364,168.6425916,190.489766,205.166364,36.5237724,0.75,maternal,medium,0.0,3.0,SD
ENSDARG00000000887,4.2148192,1609.3697400000003,1605.1549208000004,1540.84716,1609.3697400000003,4.2148192,0.75,maternal,high,0.0,3.0,SD
ENSDARG00000000906,1.6876656,16.91542,15.2277544,5.961546,3.986404,5.9805762,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000935,1.3095177999999998,20.676974,19.367456200000003,5.2833648,9.2681,4.2350114,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000000943,0.1411372,29.6760592,29.534922,0.1930566,0.4016732,6.761886200000001,6.0,maternal,medium,2.0,4.0,TU post-ZGA
ENSDARG00000000966,2.4560211999999995,46.23337840000001,43.7773572,15.157823000000002,15.894754600000002,21.435488400000004,2.25,maternal,medium,1.0,0.0,TU pre-ZGA
